Unit,Mu,Sigma,Tau,Peak,rho
144,0.164708411263809,0.001,0.12110276828659,0.00293219856328853,0.785453675608
145,0.15302862709786,0.0163082999214785,0.0537241597850337,0.026150365361352,0.994847066202005
147,0.625784586283051,0.001,0.559674557804109,-0.00123232419736557,0.99920134535792
148,0.237724444016086,0.0306641960338884,1.2436064227902,-0.00276259469657427,0.999990754128377
149,0.149252819715718,0.0292117792795565,0.0752613019054045,0.0188659111033471,0.994521275135641
150,0.180443151839698,0.0188671052351753,0.119188393295486,0.00617708511670986,0.962275070066723
151,0.186046285428832,0.0137322656521617,0.126239871849378,0.00297243645299227,0.861710024885452
152,0.302454264716672,0.0454509225628965,0.233996835078122,0.00415264637016632,0.957404801757143
154,0.115651481134139,0.0256501934158145,0.01,0.0513933871891149,0.988005659494085
156,0.20983013008729,0.001,0.526407262166304,0.00227438176105702,0.986501849070758
160,0.0809658935883211,0.001,0.164518901837853,0.00387938798913083,0.410396954076587
161,0.0936893051013903,0.0396585030010656,0.229028649620841,0.00619350860329334,0.867988459950477
162,0.159467133892028,0.0309555425302975,0.0726103035846095,0.0303872710203643,0.969602482613087
175,0.128487009387408,0.075849382783191,0.264840647786115,0.00958569062804574,0.906792905992525
187,0.237518723799897,0.0306443477346445,0.01,0.0852672163785114,0.938599583517626
192,0.843028444464815,0.00100008507912001,0.598446173221907,-0.00129678367053277,0.999701208180355
196,0.0428247275326057,0.225482179624544,0.0100000555948266,0.215136304653404,0.757258214340684
197,0.152703398042567,0.0362582881808225,0.112468077198873,0.00385096680262492,0.848073998027163
209,0.114000831464766,0.001,0.456359020540242,0.0103171687092153,0.992812432334015
210,0.112554095632757,0.0127827236344322,0.139813254993578,0.0248951058245743,0.991603481762044
211,0.13825489285733,0.0221215576823544,0.0518860566218018,0.0118693512462494,0.851422350536713
218,0.178743829591452,0.0170631379868888,0.111965502695521,0.00387895463833267,0.891841637847108
220,0.111077042315121,0.0156485921579447,0.125875031982107,0.003869830113442,0.664756127789791
221,0.21795857346822,0.0698079717384236,0.19464879887668,0.00431548441019594,0.876768829979304
226,1.01639480027659,0.438123135354176,1.04460434853375,-0.00158378918541039,0.997528840573138
227,0.125347114441704,0.001,20,0.00695387204850781,0.950871084764851
235,0.995557503481086,0.001,1.91670033054145,0.0080305857996738,0.907335814870942
236,0.187446225894007,0.0674261437126444,0.184767430678509,0.00481246908918856,0.605459954102734
249,0.373043012262973,0.351891322906972,0.0120448623721367,0.113437700267018,0.98376392902141
251,0.160892461933224,0.11026268726463,1.11496010849892,-0.00363792855506523,0.997824934783085
252,0.242531582949561,0.0307843972350847,0.59790578554402,0.00927606658261259,0.964834760989625
254,0.291105177464409,0.0683710701688284,0.23133579674387,0.0142042421327993,0.969336652485771
262,0.114440197450738,0.001,5.65104437309064,0.00316292727789004,0.983875039414567
268,0.312085301474611,0.0469767113300375,0.342513173346904,-0.00958787382174949,0.999998046973016
269,0.152322606217478,0.0326526200163276,0.252189742204901,-0.00509064761822763,0.999941926777193
270,0.320530489880907,0.347705834101302,0.0100139301156805,0.404278408358558,0.979655643813999
271,0.145906044039156,0.001,0.555942773272659,-0.00363277162604713,0.999937686309901
272,0.267917047160014,0.00290082336224446,0.220523206564948,0.0051337997674833,0.638552012509109
278,0.105192538109429,0.0188856401102706,0.01,0.0419793039976583,0.971597273687813
280,0.132431691700284,0.0287055396476615,0.0427897945682997,-0.00961741417391604,0.999955646288899
286,0.30787033693388,0.0639769200426684,0.149047210245295,0.00416064878477718,0.994208064385299
289,0.215695961507736,0.0334761153568913,0.916657136293722,0.00480503822102572,0.93523924571305
290,0.127036087260891,0.0372977954043136,0.26181893373664,-0.00452999483010259,0.999994738897722
292,0.126766901421894,0.0352902796042231,0.18139138203047,-0.00620901319147307,0.999844375834448
293,1.04823880242577e-07,0.236326522720417,1.31668886727525,-0.0051818177158718,0.998873606032851
294,0.155268998936336,0.038677991301959,0.853132060490301,-0.00389697539098289,0.999848184675418
296,0.164982395044559,0.001,0.566641437601178,0.00345991237647427,0.644953408179319
297,0.384239658886423,0.0593547211783406,0.250599286970753,0.0062868907569366,0.999173860906547
308,0.382225030377575,0.0554515137759156,0.0950988214361303,0.00832136422275091,0.954856710468394
